episode_id,source_name,source_policy,tiger_opponent,move_index,total_moves,progress_ratio,action,goats_on_board,goats_placed,winner,bucket
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,14,20,0.7,100,13,14,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,15,20,0.75,107,14,15,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,16,20,0.8,111,14,15,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,17,20,0.85,88,14,15,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,18,20,0.9,41,14,15,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,19,20,0.95,66,14,15,Goat,goat_win
8,mid_normal_goat_vs_normal_tiger,mid_normal_goat,normal_tiger,12,17,0.7058823529411765,10,11,12,Goat,goat_win
8,mid_normal_goat_vs_normal_tiger,mid_normal_goat,normal_tiger,13,17,0.7647058823529411,40,12,13,Goat,goat_win
8,mid_normal_goat_vs_normal_tiger,mid_normal_goat,normal_tiger,14,17,0.8235294117647058,25,13,14,Goat,goat_win
8,mid_normal_goat_vs_normal_tiger,mid_normal_goat,normal_tiger,15,17,0.8823529411764706,57,14,15,Goat,goat_win
8,mid_normal_goat_vs_normal_tiger,mid_normal_goat,normal_tiger,16,17,0.9411764705882353,51,14,15,Goat,goat_win
10,mid_smart_goat_vs_normal_tiger,mid_smart_goat,normal_tiger,14,20,0.7,65,11,14,Goat,goat_win
10,mid_smart_goat_vs_normal_tiger,mid_smart_goat,normal_tiger,15,20,0.75,104,12,15,Goat,goat_win
10,mid_smart_goat_vs_normal_tiger,mid_smart_goat,normal_tiger,16,20,0.8,67,12,15,Goat,goat_win
10,mid_smart_goat_vs_normal_tiger,mid_smart_goat,normal_tiger,17,20,0.85,71,12,15,Goat,goat_win
10,mid_smart_goat_vs_normal_tiger,mid_smart_goat,normal_tiger,18,20,0.9,96,12,15,Goat,goat_win
10,mid_smart_goat_vs_normal_tiger,mid_smart_goat,normal_tiger,19,20,0.95,74,12,15,Goat,goat_win
11,mid_smart_goat_vs_smart_tiger,mid_smart_goat,smart_tiger,16,22,0.7272727272727273,107,13,15,Goat,goat_win
11,mid_smart_goat_vs_smart_tiger,mid_smart_goat,smart_tiger,17,22,0.7727272727272727,37,13,15,Goat,goat_win
11,mid_smart_goat_vs_smart_tiger,mid_smart_goat,smart_tiger,18,22,0.8181818181818182,94,13,15,Goat,goat_win
11,mid_smart_goat_vs_smart_tiger,mid_smart_goat,smart_tiger,19,22,0.8636363636363636,97,13,15,Goat,goat_win
11,mid_smart_goat_vs_smart_tiger,mid_smart_goat,smart_tiger,20,22,0.9090909090909091,64,13,15,Goat,goat_win
11,mid_smart_goat_vs_smart_tiger,mid_smart_goat,smart_tiger,21,22,0.9545454545454546,56,13,15,Goat,goat_win
12,mid_robust_goat_vs_normal_tiger,mid_robust_goat,normal_tiger,16,22,0.7272727272727273,57,14,15,Goat,goat_win
12,mid_robust_goat_vs_normal_tiger,mid_robust_goat,normal_tiger,17,22,0.7727272727272727,51,14,15,Goat,goat_win
12,mid_robust_goat_vs_normal_tiger,mid_robust_goat,normal_tiger,18,22,0.8181818181818182,41,14,15,Goat,goat_win
12,mid_robust_goat_vs_normal_tiger,mid_robust_goat,normal_tiger,19,22,0.8636363636363636,71,14,15,Goat,goat_win
12,mid_robust_goat_vs_normal_tiger,mid_robust_goat,normal_tiger,20,22,0.9090909090909091,96,14,15,Goat,goat_win
12,mid_robust_goat_vs_normal_tiger,mid_robust_goat,normal_tiger,21,22,0.9545454545454546,74,14,15,Goat,goat_win
14,stable_normal_goat_vs_normal_tiger,stable_normal_goat,normal_tiger,60,85,0.7058823529411765,37,15,15,Goat,goat_win
14,stable_normal_goat_vs_normal_tiger,stable_normal_goat,normal_tiger,61,85,0.7176470588235294,102,15,15,Goat,goat_win
14,stable_normal_goat_vs_normal_tiger,stable_normal_goat,normal_tiger,62,85,0.7294117647058823,97,15,15,Goat,goat_win
14,stable_normal_goat_vs_normal_tiger,stable_normal_goat,normal_tiger,63,85,0.7411764705882353,73,15,15,Goat,goat_win
14,stable_normal_goat_vs_normal_tiger,stable_normal_goat,normal_tiger,64,85,0.7529411764705882,43,15,15,Goat,goat_win
14,stable_normal_goat_vs_normal_tiger,stable_normal_goat,normal_tiger,65,85,0.7647058823529411,28,15,15,Goat,goat_win
14,stable_normal_goat_vs_normal_tiger,stable_normal_goat,normal_tiger,66,85,0.7764705882352941,82,15,15,Goat,goat_win
14,stable_normal_goat_vs_normal_tiger,stable_normal_goat,normal_tiger,67,85,0.788235294117647,106,15,15,Goat,goat_win
